 ,Label,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
8693,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0319-1499,473,13131.949,164,52743,1115.498,83.965,1102,97,26,26
8694,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0320-1514,1176,15928.641,153,59242,208.473,66.438,185,89,46,41
8695,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0321-1521,614,13458.078,101,56282,1385.474,63.904,1371,81,31,38
8696,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0322-1517,718,15254.845,180,55571,161.808,65.989,146,80,33,29
8697,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0323-1523,1136,19331.211,343,65535,1016.968,60.600,997,79,40,38
8698,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0324-1522,445,14496.173,242,56866,380.304,61.190,370,78,19,35
8699,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0325-1527,1065,18111.231,405,64025,780.310,56.160,762,74,37,37
8700,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0326-1530,793,15042.232,100,62840,645.445,53.660,627,71,35,37
8701,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0327-1532,770,15420.018,215,59875,281.218,53.270,264,69,32,37
8702,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0328-1531,772,13579.766,101,58466,446.890,51.532,427,69,40,34
8703,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0329-1528,524,14397.494,263,54113,1196.834,54.656,1184,68,27,26
8704,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0330-1556,793,13651.142,142,62424,157.629,27.315,139,45,34,36
8705,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0331-1561,849,14595.989,123,55228,562.772,21.485,545,38,34,33
8706,C2-TimeCourseNoise.lsm - TimeCourseNoise #2:0332-1560,587,14357.237,199,48933,97.490,21.813,80,36,31,27
8707,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0001-0024:c:2/3 t:1/12 - TimeCourseNoise #3,807,13122.849,110,46136,1016.971,1561.789,999,1579,35,41
8708,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0002-0032:c:2/3 t:1/12 - TimeCourseNoise #3,1049,13913.784,82,56410,484.066,1550.469,469,1575,32,48
8709,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0003-0032:c:2/3 t:1/12 - TimeCourseNoise #3,882,13516.405,160,50222,886.025,1551.022,868,1570,33,39
8710,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0004-0034:c:2/3 t:1/12 - TimeCourseNoise #3,1054,14732.707,135,56304,1318.799,1548.459,1300,1567,39,37
8711,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0005-0039:c:2/3 t:1/12 - TimeCourseNoise #3,1036,15106.597,105,50008,553.030,1544.985,536,1566,33,44
8712,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0006-0035:c:2/3 t:1/12 - TimeCourseNoise #3,685,12954.555,217,55521,1399.935,1546.845,1385,1563,32,30
8713,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0007-0047:c:2/3 t:1/12 - TimeCourseNoise #3,961,15577.649,135,55706,604.858,1535.550,589,1555,34,38
8714,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0008-0044:c:2/3 t:1/12 - TimeCourseNoise #3,647,14111.221,132,59633,703.536,1537.721,689,1555,29,33
8715,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0009-0051:c:2/3 t:1/12 - TimeCourseNoise #3,1123,17841.899,171,59002,1260.332,1530.891,1240,1550,40,37
8716,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0010-0056:c:2/3 t:1/12 - TimeCourseNoise #3,1401,13957.707,158,58241,395.109,1528.159,374,1549,45,44
8717,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0011-0055:c:2/3 t:1/12 - TimeCourseNoise #3,956,17469.996,219,59776,940.007,1529.173,921,1548,36,41
8718,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0012-0064:c:2/3 t:1/12 - TimeCourseNoise #3,1139,16000.155,151,60440,659.936,1518.957,641,1539,37,40
8719,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0013-0066:c:2/3 t:1/12 - TimeCourseNoise #3,1212,15008.877,132,59642,60.696,1517.710,40,1536,42,39
8720,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0014-0068:c:2/3 t:1/12 - TimeCourseNoise #3,623,14416.531,229,45465,1551.792,1514.142,1537,1530,30,31
8721,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0015-0076:c:2/3 t:1/12 - TimeCourseNoise #3,1198,15997.273,185,54635,1439.375,1506.410,1417,1524,43,35
8722,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0016-0080:c:2/3 t:1/12 - TimeCourseNoise #3,909,14699.276,169,53001,822.567,1500.654,797,1522,43,39
8723,C2-TimeCourseNoise.lsm - TimeCourseNoise #3:0017-0085:c:2/3 t:1/12 - TimeCourseNoise #3,1515,16766.281,135,60112,166.211,1498.064,143,1520,48,44
